index,shape-type,vertex-index,axis-0,axis-1,axis-2
65,line,0,13.0,4028.0652,996.15436
65,line,1,13.0,3385.575,566.0586
66,line,0,13.0,3279.3796,597.9174
66,line,1,13.0,2042.1881,767.8318
67,line,0,13.0,1989.0918,842.16943
67,line,1,13.0,996.15485,1606.7839
68,line,0,13.0,879.3382,3815.672
68,line,1,13.0,374.90488,4091.783
69,line,0,14.0,1601.4745,220.91975
69,line,1,14.0,730.66376,1548.3762
70,line,0,14.0,576.6781,1564.3058
70,line,1,14.0,321.8064,1197.928
71,line,0,14.0,274.018,1197.9277
71,line,1,14.0,13.836517,1229.7867
72,line,0,14.0,1792.6283,29.766008
72,line,1,14.0,2036.8806,666.94525
73,line,0,14.0,2270.5127,544.81915
73,line,1,14.0,1946.6138,305.877
74,line,0,15.0,2806.8052,2339.5403
74,line,1,15.0,3390.8862,1474.0393
75,line,0,15.0,3380.2664,1378.4618
75,line,1,15.0,3401.5056,475.79138
76,line,0,15.0,2222.724,921.8168
76,line,1,15.0,1766.0796,1702.3616
77,line,0,15.0,1691.7416,1527.137
77,line,1,15.0,1272.2662,2950.1714
78,line,0,15.0,1298.8145,3045.7473
78,line,1,15.0,2212.104,3937.7974
79,line,0,15.0,1192.6179,2982.0293
79,line,1,15.0,29.76477,2355.471
80,line,0,15.0,4012.1355,2891.7622
80,line,1,15.0,3311.239,2530.6946
81,line,0,16.0,1697.0514,98.79375
81,line,1,16.0,2297.061,581.9878
82,line,0,16.0,2339.5403,629.77637
82,line,1,16.0,2944.8613,613.847
83,line,0,16.0,762.52203,3852.8408
83,line,1,16.0,1574.9248,3348.4082
84,line,0,16.0,1829.7971,3645.7576
84,line,1,16.0,1330.6733,3539.5613
85,line,0,16.0,3523.6316,3284.6895
85,line,1,16.0,4065.2349,3284.6895
86,line,0,16.0,2079.359,512.9602
86,line,1,16.0,2092.6335,526.23474
87,line,0,17.0,1638.6433,2546.6235
87,line,1,17.0,167.82007,3353.7124
88,line,0,17.0,2865.2131,1266.9554
88,line,1,17.0,2992.6487,2541.3135
89,line,0,18.0,3035.1277,1447.4896
89,line,1,18.0,2482.906,2169.6262
90,line,0,18.0,2498.8352,2286.4421
90,line,1,18.0,1967.852,3502.392
91,line,0,19.0,937.7463,1495.2781
91,line,1,19.0,1734.2197,2764.327
92,line,0,19.0,2944.8606,3279.3796
92,line,1,19.0,2265.203,3799.7417
93,line,0,19.0,2610.3416,1808.5577
93,line,1,19.0,1893.5137,2302.3718
94,line,0,19.0,2705.9185,1983.782
94,line,1,19.0,1686.4268,2684.6807
95,line,0,20.0,2960.79,2753.7068
95,line,1,20.0,1118.2788,2100.599
96,line,0,20.0,1203.2375,1776.6989
96,line,1,20.0,1861.6565,2339.5396
97,line,0,20.0,1155.4491,1840.4167
97,line,1,20.0,698.8043,2700.6072
98,line,0,20.0,587.2977,183.75096
98,line,1,20.0,-12.712585,443.9325
99,line,0,20.0,3762.5737,1341.2931
99,line,1,20.0,4091.7817,1845.7268
100,line,0,21.0,1006.774,1420.9404
100,line,1,21.0,921.8169,2429.8079
101,line,0,21.0,2360.7798,2817.4248
101,line,1,21.0,1197.9292,3513.0127
102,line,0,21.0,1994.4017,3852.8408
102,line,1,21.0,1192.6191,3252.8318
103,line,0,22.0,1479.3485,2079.359
103,line,1,22.0,2992.6477,3104.153
104,line,0,23.0,1405.011,1638.6433
104,line,1,23.0,735.97235,2228.0322
105,line,0,23.0,757.21216,2286.4421
105,line,1,23.0,507.65076,3008.5771
106,line,0,24.0,1755.4595,868.7185
106,line,1,24.0,3943.1084,1888.2048
107,line,0,24.0,2376.7092,2567.8628
107,line,1,24.0,3576.7305,4033.3757
108,line,0,24.0,2238.6536,3029.8179
108,line,1,24.0,3274.069,3688.2363
109,line,0,24.0,2148.3867,512.9602
109,line,1,24.0,2010.3313,964.2954
110,line,0,25.0,3985.5864,1755.4595
110,line,1,25.0,2764.3267,1288.1953
111,line,0,25.0,3332.4778,2689.989
111,line,1,25.0,2679.3699,3082.9172
112,line,0,25.0,1686.4318,2291.752
112,line,1,25.0,943.05554,2530.6943
113,line,0,25.0,1596.1647,2243.9636
113,line,1,25.0,762.52246,2472.2861
114,line,0,26.0,2312.9912,1580.2352
114,line,1,26.0,720.0415,3205.0442
115,line,0,26.0,2174.9358,1803.2479
115,line,1,26.0,2105.9082,2822.7336
116,line,0,26.0,2153.6965,3045.7473
116,line,1,26.0,1909.4431,4059.9233
117,line,0,26.0,2159.0063,1458.1093
117,line,1,26.0,1362.5364,263.3994
118,line,0,27.0,3178.493,1569.6156
118,line,1,27.0,2392.6404,2143.0754
119,line,0,27.0,2323.6108,2127.1472
119,line,1,27.0,1659.8835,2058.1194
120,line,0,27.0,1187.3081,1314.7439
120,line,1,27.0,1495.2773,1999.7118
121,line,0,27.0,3698.856,874.0284
121,line,1,27.0,3661.6875,1399.7012
122,line,0,28.0,1744.8398,2711.2283
122,line,1,28.0,465.17175,3098.845
123,line,0,28.0,2137.767,2355.47
123,line,1,28.0,1734.22,2705.9182
124,line,0,28.0,2233.3438,1702.3612
124,line,1,28.0,1776.6978,2631.581
125,line,0,28.0,4043.9946,1723.6006
