index,shape-type,vertex-index,axis-0,axis-1,axis-2
71,line,1,10,2307.9146,625.0114
72,line,0,10,2307.9146,625.0115
72,line,1,10,2222.9573,1166.6138
73,line,0,10,2228.267,1161.304
73,line,1,10,2345.0835,1394.9364
74,line,0,10,2329.1538,1384.3167
74,line,1,10,2212.3376,1936.5386
75,line,0,10,2201.718,1963.0876
75,line,1,10,2276.0554,2669.2937
76,line,0,10,2270.7456,2674.6042
76,line,1,10,1968.0862,1989.6345
77,line,0,10,2700.8416,2361.3247
77,line,1,10,3364.5708,2685.2234
78,line,0,10,3364.5698,2685.224
78,line,1,10,3173.416,2223.269
79,line,0,10,3826.5247,1702.9061
79,line,1,10,3444.2175,2223.2695
80,line,0,10,3815.905,72.789566
80,line,1,10,3449.527,375.4497
81,line,0,10,959.2186,3025.053
81,line,1,10,1171.6116,3502.9373
82,line,0,10,720.2765,3529.4863
82,line,1,10,1028.2465,3672.8513
83,line,0,10,730.8961,3699.401
83,line,1,10,1033.5562,3699.401
84,line,0,11,1527.37,1352.4576
84,line,1,11,2982.262,2998.503
85,line,0,11,1017.6267,2610.8865
85,line,1,11,1309.6672,2610.8865
86,line,0,12,1723.8336,1065.727
86,line,1,12,3045.9812,1649.8079
87,line,0,12,2584.0254,51.550262
87,line,1,12,2706.151,513.5051
88,line,0,12,157.43489,3444.529
88,line,1,12,1198.1613,3996.75
89,line,0,13,2424.7307,1771.934
89,line,1,13,3237.1323,2547.1687
90,line,0,13,1984.0151,1458.6542
90,line,1,13,2828.2756,2610.8875
91,line,0,13,991.0776,3295.854
91,line,1,13,1065.4152,4065.78
92,line,0,14,1920.2971,922.36176
92,line,1,14,1999.9435,2048.0442
93,line,0,14,1999.9446,2048.045
93,line,1,14,1893.7482,2430.353
94,line,0,14,1893.748,2430.3523
94,line,1,14,2058.3528,3040.982
95,line,0,15,1203.4706,3194.9673
95,line,1,15,1463.6521,3927.723
96,line,0,15,1102.584,2987.884
96,line,1,15,1447.7222,3423.2898
97,line,0,15,1925.6069,683.41956
97,line,1,15,2456.5908,1299.3591
98,line,0,15,2785.7988,386.0693
98,line,1,15,3253.0625,1416.175
99,line,0,15,3502.6252,1644.498
99,line,1,15,2260.1243,2499.3792
100,line,0,16,2148.6196,1389.6265
100,line,1,16,1240.6409,1798.4822
101,line,0,16,1410.5538,2472.831
101,line,1,16,1755.693,3651.6133
102,line,0,16,1495.5111,2817.9697
102,line,1,16,1362.7655,3306.4727
103,line,0,17,507.88342,778.99646
103,line,1,17,231.77264,1909.9891
104,line,0,17,1739.7631,311.73175
104,line,1,17,1097.2744,959.53064
105,line,0,17,1771.6221,2324.1558
105,line,1,17,2254.8157,2074.5945
106,line,0,17,2185.7886,1989.6368
106,line,1,17,3178.7249,2462.2107
107,line,0,17,3178.726,2462.2114
107,line,1,17,3576.9622,2462.2114
108,line,0,17,2759.2498,2589.6472
108,line,1,17,3380.498,4071.088
109,line,0,17,1798.1711,1750.6946
109,line,1,17,1341.5264,2260.4377
110,line,0,18,2408.8013,1230.3317
110,line,1,18,3056.5986,2802.0408
111,line,0,18,1421.1735,927.6716
111,line,1,18,1883.1277,651.5612
112,line,0,18,1840.6498,609.08203
112,line,1,18,2764.5603,991.3893
113,line,0,18,2764.5596,991.38947
113,line,1,18,2780.489,1044.4877
114,line,0,18,2796.4185,1092.2761
114,line,1,18,3189.3467,1092.2761
115,line,0,18,1490.2013,380.7595
115,line,1,18,953.90894,885.1931
116,line,0,19,2520.3076,2472.831
116,line,1,19,2520.3076,3593.2046
117,line,0,19,587.5308,2138.312
117,line,1,19,1389.314,3136.5579
118,line,0,19,1415.8636,3147.179
118,line,1,19,1718.5232,3306.4734
119,line,0,19,1394.6244,3184.3477
119,line,1,19,991.0777,3338.3325
120,line,0,19,449.47534,810.8554
120,line,1,19,677.79785,1368.3872
121,line,0,20,1224.71,2679.9143
121,line,1,20,2907.9238,2573.7166
