index,axis-0,axis-1,axis-2
0.0,0.0,1574.9254103573664,1898.8248037878823
1.0,0.0,1527.136975261061,2344.850198020068
2.0,0.0,1766.079150742589,2360.779676385503
3.0,0.0,1914.7542821533177,2270.512632314704
4.0,0.0,2105.90802253854,2328.920719654633
5.0,1.0,327.11627173160866,1346.602887119462
6.0,1.0,295.25731500073823,1505.897670773814
7.0,1.0,1203.237581830545,1840.4167164479534
8.0,1.0,1304.124278144968,1782.008629108024
9.0,1.0,1601.4745409664251,1951.9230650059997
10.0,1.0,1776.6988029862125,1819.1774119607064
11.0,1.0,1866.965847057012,1723.6005417680951
12.0,1.0,1707.67106340266,2084.6687180512936
13.0,1.0,1813.8675858388947,2121.8375009039755
14.0,1.0,1474.0387140429436,2950.170375906606
15.0,1.0,1596.1647148446134,2971.409680393853
16.0,1.0,3990.8962957817066,1580.2352364791784
17.0,1.0,3916.5587300763423,1500.587844652002
18.0,2.0,927.1266234963348,1383.7716699721439
19.0,2.0,1999.7115001023053,1426.2502789466378
20.0,2.0,2976.7195065156648,1702.3612372808482
21.0,2.0,2886.4524624448654,1771.3889768644005
22.0,2.0,2705.9183743032663,1829.79706420433
23.0,2.0,2663.4397653287724,1920.0641082751292
24.0,2.0,3125.3946379263934,2212.1045449747744
25.0,2.0,3141.3241162918284,2339.540371898256
26.0,3.0,1568.4113597032922,1001.481386928846
27.0,3.0,1210.9128173188385,1169.462629735999
28.0,3.0,1249.6777195051045,1255.6068568165902
29.0,3.0,1210.9128173188385,2061.0553800201187
30.0,3.0,1409.0445396041985,2345.3313293860697
31.0,3.0,1486.5743439767305,2573.613531149637
32.0,3.0,1740.699813864475,2676.9866036463463
33.0,3.0,1986.2108610441599,2827.739001037381
34.0,4.0,246.0974740162162,837.8073554757225
35.0,4.0,194.41093776786144,1152.2337843198807
36.0,4.0,465.765253071724,1083.3184026554077
37.0,4.0,818.9565841021482,1440.8169450398614
38.0,4.0,694.0474548352909,1453.73857910195
39.0,4.0,569.1383255684335,915.3371598482547
40.0,4.0,2658.1358322727715,3719.3317513215006
41.0,5.0,2003.439706460278,200.34007507934712
42.0,5.0,1818.229618237007,355.39968382441145
43.0,5.0,1792.3863501128296,480.3088130912688
44.0,5.0,1956.060381565953,510.4592925694757
45.0,5.0,1900.0666339635686,842.114566829752
46.0,5.0,1839.7656750071549,979.9453301586982
47.0,5.0,1714.8565457402974,1096.2400367174964
48.0,5.0,3467.89156683033,2655.450546876198
49.0,5.0,3218.073308296615,2978.491398428416
50.0,5.0,3364.51849433362,3008.6418779066225
51.0,5.0,3304.2175353772063,3068.9428368630365
52.0,5.0,3002.712740595137,3133.55100717348
53.0,5.0,3075.935333613639,3185.2375434218347
54.0,5.0,2998.405529241107,3279.996193210485
55.0,5.0,3032.8632200733437,3357.525997583017
56.0,5.0,2972.5622611169297,3426.44137924749
57.0,5.0,2903.6468794524567,3555.657719868377
58.0,5.0,2632.2925641485945,3861.4697260044763
59.0,5.0,2365.2454601987615,3615.958678824791
60.0,5.0,560.5239028603744,1656.1775127413396
61.0,5.0,470.07246442575354,1789.701064716256
62.0,5.0,702.66187754335,1819.8515441944628
63.0,5.0,594.9815936926109,1927.531828045202
64.0,5.0,771.577259207823,1923.2246166911727
65.0,5.0,986.9378269093012,2065.362591374148
66.0,5.0,164.2604582896545,2569.306319795607
67.0,5.0,250.40468537024577,2595.1495879197846
68.0,5.0,577.7527482764926,2840.66063509947
69.0,5.0,1034.3171518036263,3305.8394613346622
70.0,6.0,1396.1229055421097,863.6506235999
71.0,6.0,1301.3642557534592,1014.4030209909347
72.0,6.0,1228.1416627349568,1035.9390777610824
73.0,6.0,1176.455126486602,1143.6193616118214
74.0,6.0,1275.520987629282,1212.5347432762946
75.0,6.0,1396.1229050286502,1488.1962699341866
76.0,6.0,1421.9661731528277,1720.785683051783
77.0,6.0,1232.4488735755267,1768.1650079461083
78.0,6.0,1219.5272395134382,1841.387600964611
79.0,6.0,1301.3642552399997,2280.7231590756264
80.0,6.0,1589.9474159599806,2521.926994901282
81.0,6.0,1490.8815548173006,2556.3846857335184
82.0,6.0,1228.1416622214972,2741.5947739567896
83.0,6.0,1133.3830124328467,2836.35342374544
84.0,6.0,1210.912816805379,2944.0337075961793
85.0,6.0,1253.9849303456747,3168.0086980057163
86.0,6.0,1245.3705076376154,3275.6889818564555
87.0,7.0,2033.5901854250258,3400.5981111233127
88.0,8.0,788.8061041104816,1307.293393064945
89.0,8.0,1809.6151950154883,971.330907450639
90.0,8.0,2382.47430510142,919.6443712022842
91.0,8.0,2425.5464186417157,1113.4688821336147
92.0,8.0,2348.0166142691837,1363.2871406673291
93.0,8.0,2675.36467717543,437.23669955097307
94.0,8.0,2761.5089042560217,458.77275632112094
95.0,8.0,1021.3955172280781,3292.9178272725735
96.0,8.0,935.2512901474868,3331.6827294588397
97.0,8.0,969.7089809797233,3391.9836884152537
98.0,8.0,1086.0036875385217,3590.1154107006137
99.0,9.0,422.6931390179687,398.47179736470696
100.0,9.0,495.91573203647124,398.47179736470696
101.0,9.0,556.2166909928852,471.69439038320957
102.0,9.0,642.3609180734765,579.3746742339487
103.0,9.0,793.1133154645112,605.217942358126
104.0,9.0,969.7089809797233,704.283803500806
105.0,9.0,1430.5805958608867,1190.9986865061467
106.0,9.0,2257.5651758345625,4033.758180165659
107.0,9.0,2774.4305383181104,3762.403864861796
108.0,9.0,2985.483894665559,3663.3380037191164
109.0,9.0,3088.8569671622686,3581.5009879925547
110.0,9.0,3192.230039658978,1578.6477083688073
111.0,9.0,2593.5276614488685,2784.666887497085
112.0,9.0,2550.455547908573,2857.889480515588
113.0,10.0,1172.147914619113,932.566005264373
114.0,10.0,1232.4488735755267,992.8669642207867
115.0,10.0,1529.6464570035666,1492.503481288216
116.0,10.0,73.80901934157406,2991.413032490504
117.0,10.0,159.95324642216534,2982.798609782445
118.0,10.0,465.76525255826436,3628.88031288688
119.0,10.0,560.5239023469147,3607.3442561167317
120.0,10.0,1697.6276998107196,3374.7548429991352
121.0,10.0,1589.9474159599806,3211.0808115460122
122.0,10.0,2421.2392072876864,3400.5981111233136
123.0,10.0,2261.8723871885923,3663.338003719117
124.0,10.0,2666.750254467371,3241.2312910242194
125.0,10.0,2701.2079452996077,3417.8269565394316
126.0,10.0,3360.2112824661313,3460.8990700797276
127.0,10.0,3645.2420275697864,2660.0459360350947
128.0,10.0,3767.3680283714566,2670.665588278718
129.0,10.0,3740.8188977623977,2718.4540233750236
130.0,10.0,3825.7761157113855,2591.018196451542
131.0,11.0,2455.840976283958,1677.7281034999237
132.0,11.0,2487.6999330148283,1587.461059429124
133.0,11.0,1717.7751453521264,2288.358107508273
134.0,11.0,1292.9890556071873,1183.9142741714322
135.0,11.0,1186.7925331709525,1295.4206227294785
136.0,11.0,1011.5682711511655,1805.163930423405
137.0,11.0,1027.4977495166008,1879.5014961287693
138.0,11.0,820.4145307659429,1842.3327132760874
139.0,11.0,671.7393993552143,1783.924625936158
140.0,11.0,703.5983560860848,3127.3106347545267
141.0,11.0,1298.2988817289993,2654.7361099132836
142.0,11.0,1303.6087078508108,2782.1719368367653
143.0,12.0,2339.0248016040996,339.65192080336647
144.0,12.0,2248.7577575333,435.22879099597776
145.0,12.0,2179.7300179497474,493.6368783359069
146.0,12.0,2248.7577575333,525.4958350667773
147.0,12.0,3172.667502728542,1539.672624332819
148.0,12.0,3029.302197439625,1640.5593206472422
149.0,12.0,2588.586629329251,1826.4032349106528
150.0,12.0,2641.6848905473685,1863.5720177633348
151.0,12.0,2657.6143689128035,1916.6702789814522
152.0,12.0,2774.4305435926617,1921.9801051032641
153.0,12.0,2854.077935419838,1847.6425393978998
154.0,12.0,2949.6548056124493,2012.2471491740635
155.0,12.0,3008.062892952378,2256.4991507774034
156.0,12.0,2864.6975876634615,2182.161585072039
157.0,12.0,2360.2641060913465,2755.622806227707
158.0,12.0,905.3717487149307,1709.5870602307946
159.0,12.0,836.3440091313781,1762.685321448912
160.0,12.0,878.822618105872,1837.0228871542763
161.0,12.0,958.4700099330481,1863.5720177633348
162.0,12.0,2232.828279167865,1725.5165385962296
163.0,13.0,905.3717487149307,2431.7234127971906
164.0,13.0,762.0064434260138,2670.665588278719
165.0,13.0,825.7243568877547,2702.5245450095895
166.0,13.0,645.1902687461557,3063.5927212927872
167.0,13.0,804.4850524005077,3137.930286998152
168.0,13.0,517.7544418226739,3355.6331579924326
169.0,13.0,623.9509642589087,3323.7742012615627
170.0,13.0,629.2607903807204,3514.9279416467853
171.0,13.0,3406.2998520882584,679.4807925993175
172.0,13.0,3459.3981133063758,1231.702709267738
173.0,13.0,3639.932201447975,1231.702709267738
174.0,13.0,3671.7911581788453,1629.9396684036187
175.0,14.0,18.63078637237078,493.6368783359069
176.0,14.0,77.03887371229987,637.0021836248238
177.0,14.0,1808.0421894229257,1852.9523655197113
178.0,14.0,1908.928885737349,1837.0228871542763
179.0,14.0,1940.7878424682194,1911.3604528596406
180.0,14.0,1829.2814939101727,2001.62749693044
181.0,14.0,2094.7728000007596,2038.7962797831224
182.0,14.0,2413.362367309464,2203.400889559286
183.0,14.0,2530.178541989322,2086.584714879428
184.0,14.0,2710.712630130921,1927.2899312250756
185.0,14.0,3177.977328850354,2224.640194046533
186.0,14.0,2838.1484570544026,1847.6425393978998
187.0,14.0,2933.725327247014,1656.4887990126772
188.0,14.0,2960.274457856073,1693.6575818653591
189.0,14.0,3087.710284779554,1152.0553174405622
190.0,14.0,3231.0755900684712,966.2114031771514
191.0,14.0,3225.7657639466593,1475.954710871078
192.0,14.0,3172.667502728542,1598.0807116727483
193.0,14.0,3055.851328048684,1693.6575818653591
194.0,15.0,1011.5682711511655,907.8033158372223
195.0,15.0,1802.7323633011142,1667.1084512563007
196.0,15.0,2169.110365706124,1884.8113222505817
197.0,15.0,2434.601671796711,1991.0078446868165
198.0,15.0,2535.4883681111337,2102.5141932448632
199.0,15.0,2562.0374987201926,2123.75349773211
200.0,15.0,2413.362367309464,3525.5475938904083
201.0,15.0,2349.644453847723,3562.716376743091
202.0,15.0,3247.005068433906,2792.791589080389
203.0,15.0,3316.032808017459,2856.5095025421297
204.0,16.0,2020.4352342953953,1789.2344520579704
205.0,16.0,2142.5612350970655,2176.8517589502276
206.0,16.0,2705.4028040091093,1056.478447247951
207.0,16.0,2854.077935419838,1183.9142741714327
208.0,16.0,3008.062892952378,1295.420622729479
209.0,17.0,3039.9218496832486,960.9015770553397
210.0,17.0,2763.8108913490382,1093.647230100633
211.0,17.0,2631.065238303745,1470.6448847492666
212.0,17.0,2870.007413785273,1672.4182773781126
213.0,17.0,2806.289500323532,2405.174282188132
214.0,17.0,390.3186148991923,2840.5800241766947
215.0,18.0,151.3764394176642,3414.0412453323625
216.0,18.0,1303.6087078508108,3169.789243729022
217.0,18.0,1027.4977495166008,1454.7154063838311
218.0,18.0,1128.3844458310236,1566.2217549418779
219.0,18.0,1229.2711421454464,1353.8287100694083
220.0,18.0,1351.3971429471167,1385.6876668002787
