index,shape-type,vertex-index,axis-0,axis-1,axis-2
65,line,0,11.0,2323.0952,1831.713
65,line,1,11.0,1887.6892,2368.0051
66,line,0,11.0,2477.0803,21.062353
66,line,1,11.0,2200.969,344.96167
67,line,0,11.0,3034.612,3164.4795
67,line,1,11.0,4085.9578,3568.0254
68,line,0,11.0,762.0065,2654.736
68,line,1,11.0,1367.3267,2750.3127
69,line,0,11.0,756.6966,2214.0205
69,line,1,11.0,756.6966,2739.6943
70,line,0,11.0,746.07697,2750.313
70,line,1,11.0,592.09216,3233.5068
71,line,0,11.0,1080.5961,1937.9095
71,line,1,11.0,390.312,3233.507
72,line,0,11.0,1282.3694,976.83105
72,line,1,11.0,746.0763,2208.7114
73,line,0,11.0,910.6816,1762.6853
73,line,1,11.0,576.1626,1895.4309
74,line,0,11.0,937.2307,2261.809
74,line,1,11.0,1213.3411,2628.1865
75,line,0,12.0,2423.982,15.752527
75,line,1,12.0,2912.4832,552.0449
76,line,0,12.0,2593.8965,244.07506
76,line,1,12.0,2779.74,732.579
77,line,0,12.0,2535.4883,206.90627
77,line,1,12.0,2280.6172,573.2844
78,line,0,12.0,3162.0479,1412.2368
78,line,1,12.0,2662.9243,1863.5721
79,line,0,12.0,2689.4734,1661.7986
79,line,1,12.0,3358.5103,2914.917
80,line,0,12.0,1664.6769,1805.164
80,line,1,12.0,878.82275,1794.5443
81,line,0,12.0,1112.455,1550.2922
81,line,1,12.0,1537.2407,2102.5142
82,line,0,12.0,1908.9288,2410.4841
82,line,1,12.0,2328.4045,2861.8184
83,line,0,12.0,1946.0977,1178.6045
83,line,1,12.0,2466.4597,1842.332
84,line,0,13.0,119.51748,31.682005
84,line,1,13.0,448.7267,583.9039
85,line,0,13.0,45.179916,68.85079
85,line,1,13.0,358.45966,822.84595
86,line,0,13.0,3491.257,615.7629
86,line,1,13.0,3677.1006,1927.2891
87,line,0,13.0,3990.3806,1098.957
87,line,1,13.0,3581.5242,1221.083
88,line,0,13.0,894.7521,2474.202
