index,shape-type,vertex-index,axis-0,axis-1,axis-2
64,line,1,13.0,3118.9648,3782.6062
65,line,0,14.0,3007.3271,774.66437
65,line,1,14.0,1409.0681,3010.1023
66,line,0,15.0,2364.5034,275.95508
66,line,1,15.0,2120.252,1300.7507
67,line,0,15.0,2258.307,780.38855
67,line,1,15.0,2730.8809,1258.2728
68,line,0,15.0,341.4596,2272.4497
68,line,1,15.0,1249.4396,2261.9995
69,line,0,15.0,1159.1729,2086.6057
69,line,1,15.0,1541.4812,2835.2932
70,line,0,16.0,2796.0803,1975.5546
70,line,1,16.0,1532.3427,2485.297
71,line,0,17.0,362.19162,1982.8866
71,line,1,17.0,1434.7761,2635.9949
72,line,0,17.0,1041.8494,2604.1362
72,line,1,17.0,2363.996,2402.3628
73,line,0,17.0,2332.1372,2412.9827
73,line,1,17.0,2640.1064,2593.5166
74,line,0,17.0,2592.3186,2248.378
74,line,1,17.0,2682.5854,2774.0505
75,line,0,17.0,2768.1025,1782.2185
75,line,1,17.0,2760.643,2192.5002
76,line,0,17.0,3077.679,1478.2368
76,line,1,17.0,2669.2656,1869.8687
77,line,0,18.0,1893.1725,893.69116
77,line,1,18.0,2004.6788,1955.6561
78,line,0,18.0,1436.5275,2667.173
78,line,1,18.0,1197.5852,3553.9138
79,line,0,18.0,725.01074,1791.0518
79,line,1,18.0,2264.8599,2332.654
80,line,0,18.0,1006.4315,1727.3339
80,line,1,18.0,1441.8372,2444.1602
81,line,0,18.0,1054.22,2130.8806
81,line,1,18.0,1139.177,2656.5522
82,line,0,18.0,146.23967,1350.3362
82,line,1,18.0,841.8265,2114.951
83,line,0,18.0,841.8269,2114.9512
83,line,1,18.0,855.10144,2128.2258
84,line,0,19.0,1513.7858,2332.2476
84,line,1,19.0,1816.446,2544.6401
85,line,0,19.0,1832.3754,2560.57
85,line,1,19.0,2750.974,2342.8677
86,line,0,19.0,2129.7256,2125.1643
86,line,1,19.0,2182.8237,2454.3728
87,line,0,20.0,1835.4917,1234.5675
87,line,1,20.0,3019.5828,1654.0432
88,line,0,20.0,1692.1265,1117.7513
88,line,1,20.0,1846.1112,1553.157
89,line,0,20.0,3391.2708,1043.4138
89,line,1,20.0,2403.6438,1908.9159
90,line,0,20.0,550.5138,3671.7778
90,line,1,20.0,1208.9319,3151.4148
91,line,0,20.0,1214.2421,3151.4148
91,line,1,20.0,2254.968,2800.9658
92,line,0,21.0,3469.7456,123.98318
92,line,1,21.0,2875.0461,984.17505
93,line,0,21.0,2859.1157,1605.4247
93,line,1,21.0,3432.5762,3113.4155
94,line,0,21.0,3193.6348,2571.813
94,line,1,21.0,2981.242,3336.4272
95,line,0,21.0,2269.7249,2263.843
95,line,1,21.0,2965.313,3262.091
96,line,0,21.0,666.1575,1239.0466
96,line,1,21.0,782.9735,2316.9412
97,line,0,22.0,3067.7097,1648.1431
97,line,1,22.0,2473.0093,2025.1411
98,line,0,22.0,2467.6995,2019.8308
98,line,1,22.0,1506.6211,2322.488
99,line,0,22.0,2584.5156,1441.0598
99,line,1,22.0,2834.077,1770.2689
100,line,0,22.0,1496.0012,1887.0852
100,line,1,22.0,1697.7747,2264.082
101,line,0,22.0,3407.5386,1170.2587
101,line,1,22.0,2982.7534,2274.7031
102,line,0,22.0,4060.6472,1626.9037
102,line,1,22.0,3157.9763,1791.5083
103,line,0,23.0,3435.9849,555.8297
103,line,1,23.0,2193.4846,1171.7698
104,line,0,24.0,2458.9768,715.1245
104,line,1,24.0,818.2411,757.6031
105,line,0,24.0,1959.8533,651.4066
105,line,1,24.0,1476.6597,1410.7114
106,line,0,24.0,2533.3145,693.8852
106,line,1,24.0,1524.4497,1384.1621
107,line,0,24.0,871.33887,3539.952
107,line,1,24.0,977.53546,4055.0046
108,line,0,24.0,1397.0117,3550.5718
108,line,1,24.0,993.46497,4023.1458
109,line,0,24.0,621.77704,3566.5012
109,line,1,24.0,935.05664,3964.7373
110,line,0,24.0,1954.5435,2562.944
110,line,1,24.0,2135.0774,3401.8965
111,line,0,25.0,531.8271,1973.9679
111,line,1,25.0,1025.6407,1973.9679
112,line,0,25.0,1062.8097,1958.0385
112,line,1,25.0,2507.0828,1735.0251
113,line,0,25.0,499.9681,2579.288
113,line,1,25.0,935.37354,2733.2727
114,line,0,26.0,513.0976,1997.5632
114,line,1,26.0,1044.0802,2432.9688
115,line,0,26.0,1102.4883,2422.3494
115,line,1,26.0,1543.2031,1986.9441
116,line,0,26.0,1532.5842,1981.6338
116,line,1,26.0,2047.637,2215.266
117,line,0,26.0,2047.6373,2199.3367
117,line,1,26.0,2589.2385,2199.3367
118,line,0,26.0,2605.1692,2204.6465
118,line,1,26.0,2860.0403,2305.533
119,line,0,27.0,1490.7896,1214.1296
119,line,1,27.0,1660.7041,1378.7339
120,line,0,27.0,1660.704,1378.7343
120,line,1,27.0,1878.4064,2313.2637
121,line,0,27.0,1934.9021,2526.9814
121,line,1,27.0,2683.5867,3111.0615
122,line,0,27.0,2359.6882,2707.5156
122,line,1,27.0,1977.3798,3201.3286
123,line,0,28.0,1807.4663,2564.1501
123,line,1,28.0,2635.7986,2866.8098
124,line,0,28.0,2635.799,2866.8103
124,line,1,28.0,2649.0737,2880.085
125,line,0,28.0,2179.154,737.57007
125,line,1,28.0,2513.673,1321.6509
126,line,0,28.0,2513.673,1321.6509
126,line,1,28.0,2609.2502,1826.0845
127,line,0,28.0,2572.0813,1088.0186
127,line,1,28.0,3103.0632,2277.4192
128,line,0,28.0,2173.8442,610.1342
128,line,1,28.0,3230.4973,1374.7495
129,line,0,29.0,990.4876,1897.1381
129,line,1,29.0,1537.3994,2008.6437
130,line,0,29.0,1537.3997,2008.6444
130,line,1,29.0,2185.1978,2709.5415
131,line,0,29.0,1133.8529,2481.219
131,line,1,29.0,1733.8633,2879.4553
132,line,0,29.0,3267.1519,280.12808
