index,axis-0,axis-1,axis-2
1192,85,1295.582604,2978.255621
1193,85,1976.094261,3143.785483
1194,85,2180.707564,3169.074768
1195,85,2162.315357,3065.618604
1196,85,2323.247168,3228.84944
1197,85,2472.683849,3203.560156
1198,85,2884.20948,3247.241717
1199,85,3192.278946,3440.35989
1200,85,3355.509783,3525.423848
1201,85,3447.470818,3516.227744
1202,86,1851.1504,1496.701623
1203,86,1906.327021,1639.241227
1204,86,1929.31728,1797.874012
1205,86,1961.503642,2013.982444
1206,86,2046.567599,1961.104849
1207,86,2115.538375,2195.605487
1208,86,2230.489669,2305.958729
1209,86,2005.185133,3816.418725
1210,86,1970.699745,4037.125209
1211,86,2094.847142,4030.228131
1212,87,1943.47956,962.9357033
1213,87,1906.310777,1191.258226
1214,87,2017.817125,1180.638574
1215,87,2012.507299,1440.820054
1216,87,1991.267995,1605.424664
1217,87,2092.154691,1807.198057
1218,87,2304.547736,1292.144923
1219,88,828.416074,1764.719448
1220,88,754.0785083,1844.366839
1221,88,679.7409426,1934.633884
1222,88,669.1212903,2067.379537
1223,88,626.6426813,2290.392234
1224,88,998.3305099,2008.971449
1225,88,2081.535039,639.0363098
1226,88,2007.197473,803.6409196
1227,88,1927.550081,798.3310935
1228,88,1954.099212,915.1472682
1229,88,2060.295734,915.1472682
1230,88,2145.252952,755.8524845
1231,88,2251.449475,697.4443972
1232,88,3939.974181,1743.480143
1233,88,3955.90366,1828.437361
1234,88,3839.087485,2083.309015
1235,88,3823.158007,2439.067365
1236,89,1725.776689,1674.452404
1237,89,1555.862253,1722.240839
1238,89,961.161727,1886.845448
1239,89,695.6704209,1785.958752
1240,89,239.0253745,1998.351797
1241,89,138.1386781,2460.30667
1242,89,557.6149418,2359.419973
1243,89,584.1640724,2237.293972
1244,89,738.1490299,2210.744842
1245,89,923.9929442,2205.435016
1246,89,1099.217206,2327.561017
1247,89,2102.774343,2407.208408
1248,89,2309.857562,2332.870843
1249,89,2357.645997,2269.152929
1250,89,2293.928084,2216.054668
1251,89,2681.54539,2290.392234
1252,89,2628.447129,2720.48815
1253,89,2888.628609,2869.163281
1254,89,3297.485221,2539.954061
1255,89,3286.865568,2678.009541
1256,89,3313.414699,3309.878849
1257,89,3403.681743,3389.526241
1258,89,3568.286353,3421.385198
1259,89,3924.044703,3692.18633
1260,89,2947.036697,3570.060329
1261,89,2872.699131,3538.201372
1262,90,1911.620603,2189.505537
1263,90,1943.47956,2343.490495
1264,90,2219.590518,2646.150584
1265,90,2214.280692,2736.417628
1266,91,2644.376608,256.7288291
1267,91,2766.502608,506.2906568
1268,91,2862.079479,522.2201351
1269,91,2808.981217,798.3310935
1270,91,3016.064436,1016.033964
1271,91,2883.318783,1270.905618
1272,91,3249.696786,1456.749533
1273,91,3515.188092,1578.875533
1274,91,3419.611221,1605.424664
1275,91,2686.855217,1302.764575
1276,91,2485.081824,1493.918315
1277,91,2373.575475,1791.268578
1278,91,2357.645997,2003.661623
1279,91,2230.21017,2040.830406
1280,91,2113.393995,2003.661623
1281,91,1762.945471,2173.576059
1282,91,1741.706167,2279.772581
1283,91,1640.819471,2364.729799
1284,91,1508.073818,2391.27893
1285,91,1550.552427,2412.518235
1286,91,1375.328165,2736.417628
1287,91,1370.018338,3055.007195
1288,91,1385.947817,3362.97711
1289,92,1237.272685,2120.477798
1290,92,2092.154691,2152.336755
1291,92,1996.577821,2306.321712
1292,92,2060.295734,2338.180669
1293,92,1874.45182,3166.513544
1294,92,1842.592863,2975.359803
1295,93,154.0681565,1477.988837
1296,93,318.6727663,1228.427009
1297,93,796.5571172,1892.155275
1298,93,1072.668076,1982.422319
1299,93,1115.146685,2051.450058
1300,93,1147.005641,2237.293972
1301,93,1460.285382,2290.392234
1302,93,1603.650688,2269.152929
1303,93,1794.804428,2290.392234
1304,93,1916.930429,2247.913625
1305,93,2378.885302,2529.334409
1306,94,2394.81478,2008.971449
1307,94,2161.182431,2263.843103
